[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.1% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.1% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.1% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.1% | target=12.0% | mult=0.5
[VOL_TARGET] vol=38.4% | target=12.0% | mult=0.5
[VOL_TARGET] vol=38.4% | target=12.0% | mult=0.5
[VOL_TARGET] vol=38.4% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.5% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.5% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.5% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.5% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.5% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.5% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.5% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.5% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.5% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.1% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.1% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.1% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.1% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.1% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.1% | target=12.0% | mult=0.5
[VOL_TARGET] vol=31.9% | target=12.0% | mult=0.5
[VOL_TARGET] vol=31.9% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.1% | target=12.0% | mult=0.5
[VOL_TARGET] vol=38.6% | target=12.0% | mult=0.5
[VOL_TARGET] vol=38.6% | target=12.0% | mult=0.5
[VOL_TARGET] vol=38.6% | target=12.0% | mult=0.5
[VOL_TARGET] vol=38.6% | target=12.0% | mult=0.5
[VOL_TARGET] vol=38.6% | target=12.0% | mult=0.5
[VOL_TARGET] vol=38.6% | target=12.0% | mult=0.5
[VOL_TARGET] vol=38.6% | target=12.0% | mult=0.5
[VOL_TARGET] vol=38.6% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=39.3% | target=12.0% | mult=0.5
